entry_date,ticker,exit_date,stock_entry_price,stock_exit_price,call_premium_pct,pnl_pct,leg
2024-06-10,HLT,2024-08-05,209.4706,205.4868,1.8764,-1.88,primary
2024-06-10,ICE,2024-08-05,132.5201,151.0022,2.3653,11.58,primary
2024-06-10,IDXX,2024-08-05,504.0,482.84,3.1268,-3.13,primary
2024-06-10,INTU,2024-08-05,588.8975,623.8668,1.877,4.06,primary
2024-06-10,MCD,2024-08-05,243.5329,257.2952,1.3978,4.25,primary
2024-06-10,ODFL,2024-08-05,170.8345,191.0984,1.3978,10.46,primary
2024-06-10,PANW,2024-08-05,158.655,165.74,2.2109,2.25,primary
2024-06-10,SHW,2024-08-05,292.5896,340.5188,0.6502,15.73,primary
2024-06-10,SPGI,2024-08-05,428.6809,482.0786,4.0124,8.44,primary
2024-06-17,AMD,2024-08-12,161.23,148.56,5.1585,-5.16,primary
2024-06-17,AME,2024-08-12,166.7559,160.8438,1.8401,-1.84,primary
2024-06-17,AMZN,2024-08-12,189.08,177.06,1.9565,-1.96,primary
2024-06-17,CI,2024-08-12,328.6588,330.9209,3.1348,-2.45,primary
2024-06-17,CMCSA,2024-08-12,33.8159,35.1029,5.4407,-1.63,primary
2024-06-17,CRM,2024-08-12,242.4345,260.4981,2.3053,5.15,primary
2024-06-17,CSCO,2024-08-12,45.1214,47.5962,1.8401,3.64,primary
2024-06-17,CSX,2024-08-12,32.5522,32.562,1.3892,-1.36,primary
2024-06-17,CTSH,2024-08-12,66.3877,73.6929,4.1835,6.82,primary
2024-06-17,DHI,2024-08-12,139.7482,175.009,2.7328,22.5,primary
2024-06-17,EW,2024-08-12,90.9,68.92,2.1563,-2.16,primary
2024-06-17,GWW,2024-08-12,901.7761,952.3412,2.7328,2.87,primary
2024-06-17,IQV,2024-08-12,216.25,239.63,3.2602,7.55,primary
2024-06-17,ITW,2024-08-12,230.4419,233.294,1.8401,-0.6,primary
2024-06-17,JNJ,2024-08-12,141.353,151.4639,0.9867,6.17,primary
2024-06-17,MA,2024-08-12,450.3067,464.8841,2.1479,1.09,primary
2024-06-17,MET,2024-08-12,67.7447,69.9979,2.5668,0.76,primary
2024-06-17,MRK,2024-08-12,122.5069,107.1655,1.2247,-1.22,primary
2024-06-17,NSC,2024-08-12,216.8189,233.1083,1.3892,6.12,primary
2024-06-17,TRV,2024-08-12,203.9352,210.5159,2.5668,0.66,primary
2024-06-17,UNP,2024-08-12,217.2758,234.9762,1.3892,6.76,primary
2024-06-17,USB,2024-08-12,36.755,40.486,2.5668,7.58,primary
2024-06-17,V,2024-08-12,271.6544,264.4452,1.783,-1.78,primary
2024-06-24,CCI,2024-08-19,89.1248,102.5163,1.3092,13.72,primary
2024-06-24,CME,2024-08-19,182.0142,191.6889,2.3242,2.99,primary
2024-06-24,COF,2024-08-19,135.1408,139.7551,2.0242,1.39,primary
2024-06-24,FTNT,2024-08-19,60.27,74.73,2.1725,21.82,primary
2024-06-24,MNST,2024-08-19,49.95,46.65,2.3503,-2.35,primary
2024-06-24,SPG,2024-08-19,139.4349,152.9375,1.3735,8.31,primary
2024-06-24,VZ,2024-08-19,36.7413,37.3155,5.1274,-3.56,primary
2024-07-01,BRK-B,2024-08-26,411.17,475.92,2.4268,13.32,primary
2024-07-01,CTAS,2024-08-26,175.4051,198.8302,3.9553,9.4,primary
2024-07-01,MA,2024-08-26,445.0002,479.2209,2.0307,5.66,primary
2024-07-01,NSC,2024-08-26,208.1315,248.349,1.3135,18.01,primary
2024-07-01,PH,2024-08-26,497.1298,590.2617,1.7397,16.99,primary
2024-07-01,V,2024-08-26,266.8574,273.3365,1.6858,0.74,primary
2024-07-08,ABBV,2024-09-02,160.4471,183.906,2.8105,11.81,primary
2024-07-08,BMY,2024-09-02,37.6722,45.3444,2.8105,17.56,primary
2024-07-08,CI,2024-09-02,323.6417,341.7189,3.5267,2.06,primary
2024-07-08,CMCSA,2024-09-02,33.9245,35.094,3.0089,0.44,primary
2024-07-08,COF,2024-09-02,135.1018,136.2842,2.3598,-1.48,primary
2024-07-08,DHI,2024-09-02,150.8877,182.9916,2.4633,18.81,primary
2024-07-08,DIS,2024-09-02,95.2045,86.5944,2.3437,-2.34,primary
2024-07-08,HD,2024-09-02,344.7668,347.1308,2.4633,-1.78,primary
2024-07-08,IDXX,2024-09-02,492.74,472.35,3.0365,-3.04,primary
2024-07-08,IQV,2024-09-02,224.17,243.07,3.0365,5.39,primary
2024-07-08,LEN,2024-09-02,151.0814,169.5461,2.4633,9.76,primary
2024-07-08,LOW,2024-09-02,226.3945,236.9485,2.4633,2.2,primary
2024-07-08,MET,2024-09-02,69.7598,70.9849,2.6517,-0.9,primary
2024-07-08,MRK,2024-09-02,120.4492,111.0969,1.9162,-1.92,primary
2024-07-08,PCAR,2024-09-02,96.8608,87.8798,2.4633,-2.46,primary
2024-07-08,SPG,2024-09-02,137.3039,151.1004,2.015,8.03,primary
2024-07-08,SYK,2024-09-02,334.7355,354.0186,1.9248,3.84,primary
2024-07-08,SYY,2024-09-02,69.2638,75.4156,2.015,6.87,primary
2024-07-08,TRV,2024-09-02,205.6849,227.9058,2.6517,8.15,primary
2024-07-15,ADP,2024-09-09,237.2006,266.5326,1.3856,10.98,primary
2024-07-15,MA,2024-09-09,439.9088,489.1555,3.1287,8.07,primary
2024-07-15,MDT,2024-09-09,75.1772,85.1277,2.5519,10.68,primary
2024-07-15,SBUX,2024-09-09,75.7953,94.819,2.6715,22.43,primary
2024-07-15,XOM,2024-09-09,109.4321,105.6371,3.2495,-3.25,primary
2024-07-22,ABT,2024-09-16,102.2804,110.5025,2.5319,5.51,primary
2024-07-22,AIG,2024-09-16,74.3569,71.0068,3.4881,-3.49,primary
2024-07-22,ELV,2024-09-16,510.6847,524.2224,4.6391,-1.99,primary
2024-07-22,TRV,2024-09-16,207.8719,232.8762,3.4881,8.54,primary
2024-07-22,VLO,2024-09-16,151.1618,128.5859,3.6099,-3.61,primary
2024-08-12,HLT,2024-10-07,211.602,237.3333,1.8764,10.28,re_entry
